EQ_TYPE,SEGMENT,TASK,NEXT_CHANGE,SPEED,PEDESTRIAN,RELEV_VEHICLE,ACTIONS,AGGRESSIVE,FILE_ID,TRACK_ID,TIME,ON_EQ
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  <EQ  2,acts-1,N,776,85,85.919167,0.003952999999999984
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  <EQ  2,acts-1,Y,776,85,86.920167,0.005947999999999953
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,80.914167,0.07859400000000005
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,80.914167,0.07859400000000005
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,81.915167,0.08108199999999999
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,81.915167,0.08108199999999999
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,82.916167,0.07467200000000007
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,82.916167,0.07467200000000007
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,83.917167,0.07493800000000006
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,83.917167,0.07493800000000006
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,84.918167,0.003526000000000029
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,RL  0,acts-2,Y,776,305,284.951333,0.07359799999999994
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,RL  0,acts-2,N,776,305,285.952333,0.08086400000000005
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,RL  0,acts-2,N,776,305,286.953333,0.07944799999999996
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,RL  0,acts-2,Y,776,305,287.954333,0.006440999999999919
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-Y/R,LOW  SPEED,NO  PEDESTRIAN,  RL  <EQ  2,acts-2,N,776,85,79.913167,0.07797799999999999
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,PEDESTRIAN,  RL  <EQ  2,acts-1,N,776,85,85.919167,0.003952999999999984
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,PEDESTRIAN,  RL  <EQ  2,acts-1,Y,776,85,86.920167,0.005947999999999953
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,80.914167,0.07859400000000005
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,80.914167,0.07859400000000005
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,81.915167,0.08108199999999999
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,81.915167,0.08108199999999999
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,82.916167,0.07467200000000007
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,82.916167,0.07467200000000007
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,83.917167,0.07493800000000006
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,83.917167,0.07493800000000006
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,PEDESTRIAN,  RL  >  2,acts-1,N,776,85,84.918167,0.003526000000000029
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,NO  PEDESTRIAN,RL  0,acts-2,Y,776,305,284.951333,0.07359799999999994
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,NO  PEDESTRIAN,RL  0,acts-2,N,776,305,285.952333,0.08086400000000005
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,NO  PEDESTRIAN,RL  0,acts-2,N,776,305,286.953333,0.07944799999999996
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,NO  PEDESTRIAN,RL  0,acts-2,Y,776,305,287.954333,0.006440999999999919
L1BR|BR|BOUNDARY,prep-left-turn,S_W,<10-G,LOW  SPEED,NO  PEDESTRIAN,  RL  <EQ  2,acts-2,N,776,85,79.913167,0.07797799999999999
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,RL  0,acts-1,N,776,73,62.395667,0
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,RL  0,acts-1,N,776,73,63.396667,0
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,RL  0,acts-2,Y,776,269,271.938333,0
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,RL  0,acts-2,Y,776,269,272.939333,0
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,RL  0,acts-2,Y,776,269,273.940333,0.0003580000000000805
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,  RL  <EQ  2,acts-3,Y,776,85,72.906167,0
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,  RL  <EQ  2,acts-2,N,776,85,75.909167,0.10484400000000005
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,  RL  <EQ  2,acts-2,N,776,85,77.911167,0.006855999999999973
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,  RL  <EQ  2,acts-2,N,776,145,159.6595,0.0021339999999999693
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,  RL  <EQ  2,acts-2,N,776,145,160.6605,0
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,  RL  <EQ  2,acts-2,N,776,145,161.6615,0.07583799999999996
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,  RL  >  2,acts-2,N,776,85,74.908167,0.08424200000000004
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,  RL  >  2,acts-2,N,776,85,76.910167,0.05469900000000005
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,MEDIUM  SPEED,PEDESTRIAN,  RL  <EQ  2,acts-4,N,776,77,65.899167,0.0
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-Y/R,MEDIUM  SPEED,PEDESTRIAN,  RL  <EQ  2,acts-4,N,776,77,65.899167,0.0
L1BR|BR|BOUNDARY,prep-left-turn,S_W,>EQ  10-G,LOW  SPEED,PEDESTRIAN,RL  0,acts-1,N,776,73,62.395667,0
