EQ_TYPE,SEGMENT,SIGNAL,NEXT_CHANGE,SPEED,PEDESTRIAN,LEAD_VEHICLE,RELEV_VEHICLE,ACTIONS,ON_EQ
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,PEDESTRIAN,LV,  RL  >  2,acts-4,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,RL  0,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,NO  LV,  RL  >  2,acts-1,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  <EQ  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,LOW  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,MEDIUM  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-Y/R,MEDIUM  SPEED,NO  PEDESTRIAN,LV,  RL  >  2,acts-2,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,RL  0,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  <EQ  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,0
BR|MAXMIN|BOUNDARY,prep-left-turn,G,>EQ  10-G,LOW  SPEED,PEDESTRIAN,NO  LV,  RL  >  2,acts-3,1
